name,state,south,british,german,mobility
Beeville,Texas,True,17.029543,18.089275,10.215947
Kerrville,Texas,True,23.037682,24.551588,9.563758
Mason,Texas,True,28.972107,17.275389,17.44186
Midland,Texas,True,26.910343,12.5836525,17.888699
Pecos,Texas,True,21.82628,9.484038,23.295454
Fort Stockton,Texas,True,23.544193,11.357139,22.278057
Alpine,Texas,True,21.82628,9.484038,18.026566
Crystal City,Texas,True,10.682492,6.4813366,8.320494
Pearsall,Texas,True,19.43754,19.28615,9.375
Laredo,Texas,True,2.7132342,1.7318517,10.885359
Brownsville,Texas,True,8.07794,4.9256916,9.160912
Corpus Christi,Texas,True,17.069595,11.720837,10.556761
College Station,Texas,True,24.682108,21.423706,7.777778
Pearland,Texas,True,23.1017,18.614588,11.571612
Houston,Texas,True,23.117989,14.343013,9.273798
Beaumont,Texas,True,26.832062,10.411907,9.497057
Huntsville,Texas,True,28.406155,11.56965,7.7342587
Nacogdoches,Texas,True,30.406723,9.416015,9.39184
San Angelo,Texas,True,28.972107,17.275389,8.638642
Brady,Texas,True,33.071472,17.27037,11.814346
Junction,Texas,True,28.972107,17.275389,7.3469386
Uvalde,Texas,True,13.564891,8.182453,9.684361
Del Rio,Texas,True,11.120088,6.5992475,12.306046
Eagle Pass,Texas,True,10.682492,6.4813366,10.008103
Big Spring,Texas,True,29.918554,13.307804,11.444141
Sweetwater,Texas,True,32.24808,11.122972,12.202853
Snyder,Texas,True,32.24808,11.122972,15.608919
Abilene,Texas,True,32.460384,13.415611,10.329199
Childress,Texas,True,31.932936,13.894777,7.826087
Haskell,Texas,True,30.95142,11.800834,16.901407
Wichita Falls,Texas,True,29.031404,16.157568,9.66045
Graham,Texas,True,31.956228,13.689902,17.593985
Seymour,Texas,True,31.932936,13.894777,8.602151
Vernon,Texas,True,31.932936,13.894777,8.80734
Brownwood,Texas,True,37.075848,17.265469,10.866373
Stephenville,Texas,True,33.166576,12.291599,11.419753
Waco,Texas,True,28.332722,15.6040745,6.7537436
Corsicana,Texas,True,29.522463,12.763447,10.130434
Killeen,Texas,True,24.386219,18.734173,7.724827
Fort Worth,Texas,True,31.889885,14.69873,9.136286
Dallas,Texas,True,29.460659,13.914953,7.1082463
Paris,Texas,True,28.051037,10.08082,7.6712327
Tyler,Texas,True,28.373455,9.336651,9.510651
Longview,Texas,True,28.086058,9.895218,11.419707
Texarkana,Texas,True,28.074562,8.045658,7.889309
Lawton,Oklahoma,True,26.842556,16.542324,10.488089
Altus,Oklahoma,True,31.595982,19.707035,11.214952
Frederick,Oklahoma,True,29.615494,12.849874,7.4303403
Ardmore,Oklahoma,True,28.443047,11.6266,11.078823
Elk City,Oklahoma,True,31.595982,19.707035,18.719889
Chickasha,Oklahoma,True,29.615494,12.849874,11.544628
Oklahoma City,Oklahoma,True,30.18199,18.27507,8.207529
Ada,Oklahoma,True,26.001904,11.243394,11.672942
Sherman,Texas,True,28.866016,12.917489,8.8479805
Hot Springs,Arkansas,True,30.180809,10.300934,7.075673
Idabel,Oklahoma,True,25.544258,11.085491,9.227872
